change,currency,market_cap,value,volume
3.10,Monero,"$2,624,800,874",$144.85,"18,120,799.68 XMR"
15.72,ApeCoin,"$2,309,042,814",$8.11,"284,843,750.00 APE"
18.22,Decentraland,"$2,261,631,263",$1.23,1.84B MANA
2.08,Hedera,"$2,080,083,672",$0.1003,20.74B HBAR
6.36,Internet Computer,"$2,013,685,081",$8.64,"233,049,035.56 ICP"
6.40,VeChain,"$1,993,749,263",$0.031,64.32B VET
0.36,TerraUSD,"$1,985,737,928",$0.176,11.28B UST
4.05,Elrond,"$1,890,927,636",$86.22,"21,930,463.75 EGLD"
1.60,Filecoin,"$1,791,971,644",$8.72,"205,465,624.00 FIL"
1.60,The Sandbox,"$1,708,367,874",$1.39,1.23B SAND
5.09,Tezos,"$1,592,857,792",$1.78,"894,518,515.79 XTZ"
3.17,Theta Network,"$1,439,149,584",$1.44,1.00B THETA
15.57,Maker,"$1,413,513,648","$1,445.86","$255,135,627"
0.50,Zcash,"$1,397,313,641",$97.18,"14,378,600.00 ZEC"
5.47,EOS,"$1,330,173,452",$1.34,"989,402,768.57 EOS"
8.05,Axie Infinity,"$1,258,390,656",$20.66,"60,907,500.00 AXS"
4.56,PancakeSwap,"$1,249,005,255",$4.22,"$127,129,445"
1.84,KuCoin Token,"$1,242,592,470",$12.63,"98,379,860.95 KCS"
0.11,TrueUSD,"$1,221,281,785",$1.00,1.22B TUSD
7.83,Helium,"$1,168,473,878",$9.93,"117,674,903.21 HNT"
8.76,Aave,"$1,127,873,835",$82.23,"$200,824,367"
2.64,Klaytn,"$1,117,659,283",$0.3966,2.82B KLAY
4.49,The Graph,"$1,083,586,334",$0.157,6.90B GRT
2.85,Huobi Token,"$1,083,343,873",$6.98,"155,225,063.25 HT"
10.40,THORChain,"$1,051,078,171",$3.18,"$157,118,357"
,BitTorrent-New,"$1,038,337,476",,"929,275.16B BTT"
4.54,Bitcoin SV,"$982,797,753",$51.57,"19,058,607.89 BSV"
0.02,Pax Dollar,"$948,003,643",$1.00,"945,642,940.11 USDP"
3.02,IOTA,"$907,097,805",$0.3263,2.78B MIOTA
10.36,STEPN,"$883,505,909",$1.47,"600,000,000.00 GMT"
6.96,Neutrino USD,"$862,017,117",$0.9493,"908,062,180.13 USDN"
,eCash,"$837,404,280",,"19,058.39B XEC"
16.13,Fantom,"$813,679,266",$0.3197,2.55B FTM
12.15,Quant,"$813,611,208",$67.39,"12,072,738.00 QNT"
6.21,Convex Finance,"$769,639,402",$12.58,"$14,713,791"
7.06,Waves,"$760,026,596",$7.02,"108,258,598.00 WAVES"
0.57,OKB,"$751,189,844",$12.52,"60,000,000.00 OKB"
4.66,Nexo,"$733,860,237",$1.31,"560,000,011.00 NEXO"
7.02,Neo,"$728,153,342",$10.32,"70,538,831.00 NEO"
2.84,Stacks,"$717,995,943",$0.5467,1.31B STX
2.15,Chiliz,"$681,870,366",$0.1136,6.00B CHZ
10.25,Celo,"$667,890,268",$1.52,"439,191,694.00 CELO"
7.81,Zilliqa,"$658,963,530",$0.05157,12.78B ZIL
5.43,Gala,"$658,745,569",$0.09441,6.98B GALA
1.82,Enjin Coin,"$642,193,692",$0.722,"889,481,955.57 ENJ"
1.90,Dash,"$634,513,553",$59.17,"10,722,732.85 DASH"
10.29,Curve DAO Token,"$626,294,184",$1.36,"$199,134,085"
9.25,Kusama,"$620,079,039",$73.21,"8,470,098.06 KSM"
4.42,Loopring,"$616,927,592",$0.4638,"$139,927,327"
3.17,Basic Attention Token,"$599,454,493",$0.4002,1.50B BAT
1.16,PAX Gold,"$594,905,897","$1,809.19","328,823.72 PAXG"
5.03,Gnosis,"$583,856,525",$226.34,"$5,844,905"
4.73,Harmony,"$572,734,753",$0.04748,12.06B ONE
1.55,XDC Network,"$567,143,157",$0.04609,12.31B XDC
4.80,Amp,"$565,681,074",$0.0134,42.23B AMP
12.71,Mina,"$521,113,435",$1.04,"500,532,938.84 MINA"
18.23,NEM,"$515,821,436",$0.05731,9.00B XEM
1.99,Compound,"$493,094,185",$69.33,"$65,028,021"
8.19,Decred,"$470,234,552",$33.55,"14,015,418.73 DCR"
3.12,Holo,"$464,826,639",$0.002682,173.31B HOT
12.63,Arweave,"$459,836,854",$13.77,"33,394,701.00 AR"
12.65,Lido DAO,"$450,270,830",$1.44,"$18,051,807"
1.38,GateToken,"$432,650,350",$5.52,"78,332,016.24 GT"
0.87,Fei USD,"$419,432,606",$0.9869,"$13,389,618"
3.03,Qtum,"$411,712,406",$3.95,"104,162,637.50 QTUM"
4.12,Kava,"$404,237,924",$2.11,"$142,664,070"
4.24,Kadena,"$408,600,317",$2.22,"183,992,225.96 KDA"
1.90,1inch Network,"$386,392,519",$0.9309,"415,073,511.65 1INCH"
3.66,Bancor,"$387,029,858",$1.42,"$24,623,008"
5.90,Symbol,"$378,606,490",$0.06782,5.58B XYM
